,0
350,"3, 6288, Note_on_c, 0, 72, 110
"
351,"3, 6336, Note_on_c, 0, 53, 0
"
352,"3, 6336, Note_on_c, 0, 60, 0
"
353,"3, 6336, Note_on_c, 0, 63, 0
"
354,"3, 6336, Note_on_c, 0, 72, 0
"
355,"3, 6336, Note_on_c, 0, 52, 91
"
356,"3, 6336, Note_on_c, 0, 58, 91
"
357,"3, 6336, Note_on_c, 0, 63, 91
"
358,"3, 6336, Note_on_c, 0, 68, 91
"
359,"3, 6336, Note_on_c, 0, 72, 110
"
360,"3, 6432, Note_on_c, 0, 84, 91
"
361,"3, 6464, Note_on_c, 0, 84, 0
"
362,"3, 6464, Note_on_c, 0, 80, 91
"
363,"3, 6496, Note_on_c, 0, 80, 0
"
364,"3, 6496, Note_on_c, 0, 85, 91
"
365,"3, 6528, Note_on_c, 0, 85, 0
"
366,"3, 6528, Note_on_c, 0, 84, 91
"
367,"3, 6624, Note_on_c, 0, 52, 0
"
368,"3, 6624, Note_on_c, 0, 58, 0
"
369,"3, 6624, Note_on_c, 0, 63, 0
"
370,"3, 6624, Note_on_c, 0, 68, 0
"
371,"3, 6624, Note_on_c, 0, 72, 0
"
372,"3, 6624, Note_on_c, 0, 65, 91
"
373,"3, 6624, Note_on_c, 0, 63, 91
"
374,"3, 6624, Note_on_c, 0, 72, 110
"
375,"3, 6672, Note_on_c, 0, 72, 0
"
376,"3, 6672, Note_on_c, 0, 68, 110
"
377,"3, 6720, Note_on_c, 0, 84, 0
"
378,"3, 6720, Note_on_c, 0, 65, 0
"
379,"3, 6720, Note_on_c, 0, 63, 0
"
380,"3, 6720, Note_on_c, 0, 68, 0
"
381,"3, 6720, Note_on_c, 0, 53, 91
"
382,"3, 6720, Note_on_c, 0, 60, 91
"
383,"3, 6720, Note_on_c, 0, 63, 91
"
384,"3, 6720, Note_on_c, 0, 68, 110
"
385,"3, 6864, Note_on_c, 0, 68, 0
"
386,"3, 6864, Note_on_c, 0, 72, 110
"
387,"3, 6912, Note_on_c, 0, 53, 0
"
388,"3, 6912, Note_on_c, 0, 60, 0
"
389,"3, 6912, Note_on_c, 0, 63, 0
"
390,"3, 6912, Note_on_c, 0, 72, 0
"
391,"3, 6912, Note_on_c, 0, 52, 91
"
392,"3, 6912, Note_on_c, 0, 58, 91
"
393,"3, 6912, Note_on_c, 0, 63, 91
"
394,"3, 6912, Note_on_c, 0, 68, 91
"
395,"3, 6912, Note_on_c, 0, 72, 110
"
396,"3, 7008, Note_on_c, 0, 85, 91
"
397,"3, 7040, Note_on_c, 0, 85, 0
"
398,"3, 7040, Note_on_c, 0, 80, 91
"
399,"3, 7072, Note_on_c, 0, 80, 0
"
400,"3, 7072, Note_on_c, 0, 84, 91
"
401,"3, 7104, Note_on_c, 0, 84, 0
"
402,"3, 7104, Note_on_c, 0, 84, 91
"
403,"3, 7200, Note_on_c, 0, 52, 0
"
404,"3, 7200, Note_on_c, 0, 58, 0
"
405,"3, 7200, Note_on_c, 0, 63, 0
"
406,"3, 7200, Note_on_c, 0, 68, 0
"
407,"3, 7200, Note_on_c, 0, 72, 0
"
408,"3, 7200, Note_on_c, 0, 55, 91
"
409,"3, 7200, Note_on_c, 0, 60, 91
"
410,"3, 7200, Note_on_c, 0, 64, 91
"
411,"3, 7200, Note_on_c, 0, 72, 110
"
412,"3, 7248, Note_on_c, 0, 72, 0
"
413,"3, 7248, Note_on_c, 0, 69, 110
"
414,"3, 7296, Note_on_c, 0, 84, 0
"
415,"3, 7296, Note_on_c, 0, 69, 0
"
416,"3, 7296, Note_on_c, 0, 69, 110
"
417,"3, 7392, Note_on_c, 0, 55, 0
"
418,"3, 7392, Note_on_c, 0, 60, 0
"
419,"3, 7392, Note_on_c, 0, 64, 0
"
420,"3, 7392, Note_on_c, 0, 55, 91
"
421,"3, 7392, Note_on_c, 0, 61, 91
"
422,"3, 7392, Note_on_c, 0, 65, 91
"
423,"3, 7440, Note_on_c, 0, 69, 0
"
424,"3, 7440, Note_on_c, 0, 72, 110
"
425,"3, 7488, Note_on_c, 0, 55, 0
"
426,"3, 7488, Note_on_c, 0, 61, 0
"
