cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
1.76653E+12,S,Livermore Valley Charter Preparatory Hig,SBE - Livermore Valley Charter,Alameda,80,62,539,560,529,42,67.74
3E+12,C,,,Amador,378,97,533,525,508,66,68.04
3.10033E+12,D,,Amador County Office of Educat,Amador,23,0,NA,NA,NA,NA,NA
3.73981E+12,D,,Amador County Unified,Amador,355,97,533,525,508,66,68.04
3.73981E+12,S,North Star Independent Study,Amador County Unified,Amador,34,0,NA,NA,NA,NA,NA
3.73981E+12,S,Amador High,Amador County Unified,Amador,149,56,528,517,492,34,60.71
3.73981E+12,S,Argonaut High,Amador County Unified,Amador,135,41,540,536,530,32,78.05
4E+12,C,,,Butte,2588,692,518,527,500,396,57.23
4.10041E+12,D,,Butte County Office of Educati,Butte,175,26,568,503,522,15,57.69
4.10041E+12,S,CORE Butte Charter,Butte County Office of Educati,Butte,91,26,568,503,522,15,57.69
4.10041E+12,S,Learning Community Charter,Butte County Office of Educati,Butte,68,0,NA,NA,NA,NA,NA
4.61408E+12,D,,Biggs Unified,Butte,49,18,432,456,416,3,16.67
4.61408E+12,S,Biggs High,Biggs Unified,Butte,46,18,432,456,416,3,16.67
4.61424E+12,D,,Chico Unified,Butte,1139,367,535,545,517,243,66.21
4.61424E+12,S,Inspire School of Arts and Sciences,Chico Unified,Butte,95,44,577,521,554,36,81.82
4.61424E+12,S,Oakdale,Chico Unified,Butte,37,0,NA,NA,NA,NA,NA
4.61424E+12,S,Chico High,Chico Unified,Butte,438,134,531,541,513,90,67.16
4.61424E+12,S,Pleasant Valley High,Chico Unified,Butte,477,189,529,553,510,117,61.9
4.61432E+12,D,,Durham Unified,Butte,87,46,546,543,513,30,65.22
4.61432E+12,S,Durham High,Durham Unified,Butte,87,46,546,543,513,30,65.22
4.6144E+12,D,,Feather Falls Union Elementary,Butte,11,0,NA,NA,NA,NA,NA
4.6144E+12,S,Ipakanni Early College Charter,Feather Falls Union Elementary,Butte,11,0,NA,NA,NA,NA,NA
4.61515E+12,D,,Oroville Union High,Butte,591,109,454,484,449,35,32.11
4.61515E+12,S,Las Plumas High,Oroville Union High,Butte,246,44,480,498,452,17,38.64
4.61515E+12,S,Oroville High,Oroville Union High,Butte,265,65,436,475,446,18,27.69
4.61531E+12,D,,Paradise Unified,Butte,358,68,546,547,522,47,69.12
4.61531E+12,S,Paradise eLearning Academy,Paradise Unified,Butte,17,0,NA,NA,NA,NA,NA
4.61531E+12,S,Paradise Senior High,Paradise Unified,Butte,255,68,546,547,522,47,69.12
4.61532E+12,S,Hometech Charter,Paradise Unified,Butte,29,0,NA,NA,NA,NA,NA
4.75507E+12,D,,Gridley Unified,Butte,170,58,474,489,476,23,39.66
4.75507E+12,S,Esperanza High (Continuation),Gridley Unified,Butte,12,2,*,*,*,*,*
4.75507E+12,S,Gridley High,Gridley Unified,Butte,158,56,476,487,480,22,39.29
5E+12,C,,,Calaveras,500,147,516,504,500,81,55.1
5.10058E+12,D,,Calaveras County Office of Edu,Calaveras,70,3,*,*,*,*,*
5.10058E+12,S,Mountain Oaks,Calaveras County Office of Edu,Calaveras,58,3,*,*,*,*,*
5.61556E+12,D,,Bret Harte Union High,Calaveras,169,59,541,523,520,40,67.8
5.61556E+12,S,Bret Harte Union High,Bret Harte Union High,Calaveras,157,59,541,523,520,40,67.8
5.61564E+12,D,,Calaveras Unified,Calaveras,261,85,496,490,484,38,44.71
5.61564E+12,S,Calaveras High,Calaveras Unified,Calaveras,238,85,496,490,484,38,44.71
6E+12,C,,,Colusa,303,87,446,455,440,20,22.99
6.61598E+12,D,,Colusa Unified,Colusa,105,25,494,497,467,12,48
