,0
335,"2, 6096, Note_on_c, 0, 46, 107
"
336,"2, 6189, Note_on_c, 0, 34, 0
"
337,"2, 6192, Note_on_c, 0, 46, 0
"
338,"2, 6192, Note_on_c, 0, 34, 90
"
339,"2, 6240, Note_on_c, 0, 67, 0
"
340,"2, 6240, Note_on_c, 0, 63, 0
"
341,"2, 6240, Note_on_c, 0, 58, 0
"
342,"2, 6285, Note_on_c, 0, 34, 0
"
343,"2, 6288, Note_on_c, 0, 46, 107
"
344,"2, 6288, Note_on_c, 0, 60, 107
"
345,"2, 6288, Note_on_c, 0, 34, 90
"
346,"2, 6288, Note_on_c, 0, 63, 107
"
347,"2, 6288, Note_on_c, 0, 68, 110
"
348,"2, 6384, Note_on_c, 0, 60, 0
"
349,"2, 6384, Note_on_c, 0, 63, 0
"
350,"2, 6384, Note_on_c, 0, 68, 0
"
351,"2, 6384, Note_on_c, 0, 60, 107
"
352,"2, 6384, Note_on_c, 0, 63, 107
"
353,"2, 6384, Note_on_c, 0, 68, 110
"
354,"2, 6427, Note_on_c, 0, 34, 0
"
355,"2, 6432, Note_on_c, 0, 46, 0
"
356,"2, 6432, Note_on_c, 0, 60, 0
"
357,"2, 6432, Note_on_c, 0, 63, 0
"
358,"2, 6432, Note_on_c, 0, 68, 0
"
359,"2, 6432, Note_on_c, 0, 63, 107
"
360,"2, 6432, Note_on_c, 0, 60, 107
"
361,"2, 6432, Note_on_c, 0, 34, 90
"
362,"2, 6432, Note_on_c, 0, 68, 110
"
363,"2, 6525, Note_on_c, 0, 34, 0
"
364,"2, 6528, Note_on_c, 0, 63, 0
"
365,"2, 6528, Note_on_c, 0, 60, 0
"
366,"2, 6528, Note_on_c, 0, 68, 0
"
367,"2, 6528, Note_on_c, 0, 60, 107
"
368,"2, 6528, Note_on_c, 0, 67, 110
"
369,"2, 6528, Note_on_c, 0, 45, 90
"
370,"2, 6624, Note_on_c, 0, 67, 0
"
371,"2, 6624, Note_on_c, 0, 67, 110
"
372,"2, 6672, Note_on_c, 0, 67, 0
"
373,"2, 6672, Note_on_c, 0, 67, 110
"
374,"2, 6714, Note_on_c, 0, 45, 0
"
375,"2, 6720, Note_on_c, 0, 60, 0
"
376,"2, 6720, Note_on_c, 0, 67, 0
"
377,"2, 6720, Note_on_c, 0, 44, 90
"
